Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
31;516,6666;00:00:00:517;48,58889;52,44936;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,381302;2,065201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,173583;-2,1698;-0,22831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;533,3333;00:00:00:533;48,68621;52,49152;3,094337;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;5,839462;2,529373;0;0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267,4896;27,85033;0;0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;550;00:00:00:550;48,70605;52,48825;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,190185;-0,196152;0;-0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-278,9566;-163,5315;0;-1,017094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;566,6666;00:00:00:567;48,96107;52,60326;3,0944;1,386633;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;15,30144;6,900558;0,003791;0,016937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846,675;425,8026;0,227451;1,524782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;583,3333;00:00:00:583;48,98001;52,62151;3,0944;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,136398;1,095428;0;-0,008461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-849,9022;-348,3077;-0,227451;-1,523924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;600;00:00:00:600;48,98303;52,63863;3,094273;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0,180817;1,026764;-0,007596;-0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-57,3349;-4,119873;-0,455761;-0,000858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;616,6666;00:00:00:617;48,95288;52,63399;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-1,808853;-0,27832;0,003805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-119,3802;-78,30505;0,684071;0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;633,3333;00:00:00:633;48,99829;52,64545;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;2,724838;0,687561;0,003791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272,0215;57,95287;-0,000858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;650;00:00:00:650;49,00096;52,65343;3,094273;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0,15976;0,479279;-0,007596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-153,9047;-12,49695;-0,683212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;666,6666;00:00:00:667;49,0321;52,65616;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,868591;0,163651;0,003805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102,5299;-18,93768;0,684071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
